Word,Count
#com_facebook_like_view_com_facebook_horizontal_alignment,2
#SearchView_goIcon,2
\requestCode,\,2
android:layout}</code></td><td></td></tr>,2
Array,2
#IMECorpus_inputEnabled,2
#DrawerArrowToggle_arrowHeadLength,2
<tr><td><code>instant_message</code></td><td>2</td><td></td></tr>,2
pit.feat.R.attr#divider},2
#ButtonBarLayout_allowStacking,2
#SwitchCompat_thumbTextPadding,2
#AppCompatTheme_windowActionModeOverlay,2
<tr><td><code>homeAsUp</code></td><td>0x4</td><td></td></tr>,2
#LoadingImageView_imageAspectRatioAdjust,2
#AppCompatTheme_actionModeWebSearchDrawable,2
#AppCompatTheme_checkedTextViewStyle,2
#AppCompatTheme_autoCompleteTextViewStyle,2
#AppCompatTheme_alertDialogStyle,2
#AppCompatTheme_colorControlHighlight,2
pit.feat:divider,2
#MenuGroup_android_visible,2
#AppCompatTheme_textColorAlertDialogListItem,2
pit.feat:contentInsetLeft}</code></td><td></td></tr>,2
#DrawerArrowToggle_barLength,2
pit.feat.R.attr#subtitle},2
(HTextView),2
#AppCompatTheme_popupMenuStyle,2
<tr><td><code>right</code></td><td>2</td><td></td></tr>,2
make,2
#LinearLayoutCompat_Layout_android_layout_weight,2
#CardView_contentPaddingRight,2
#TextAppearance_android_shadowDy,2
#ViewStubCompat_android_layout,2
(int,2
overriding,2
#ActionBar_contentInsetStart,2
<tr><td><code>intent_extra_data</code></td><td>6</td><td></td></tr>,2
#SwitchCompat_switchPadding,2
#AppCompatTheme_actionBarSplitStyle,2
#MenuItem_android_menuCategory,2
#SearchView_android_focusable,2
#TextAppearance_android_shadowColor,2
#ViewStubCompat_android_id,2
#MenuItem_android_titleCondensed,2
#AppCompatTheme_borderlessButtonStyle,2
#SearchView_queryBackground,2
android.R.attr#visible},2
#AppCompatTheme_colorAccent,2
#AppCompatTheme_actionBarWidgetTheme,2
//Callback,2
<tr><td><code>open_graph</code></td><td>1</td><td></td></tr>,2
#AppCompatTheme_checkboxStyle,2
#AppCompatTheme_windowActionBar,2
#Toolbar_subtitleTextAppearance,2
#AlertDialog_android_layout,2
float,2
<tr><td><code>never_display</code></td><td>2</td><td></td></tr>,2
<tr><td><code>adjust_height</code></td><td>2</td><td></td></tr>,2
#AppCompatTheme_panelBackground,2
#ActionBar_progressBarPadding,2
#com_facebook_profile_picture_view},2
#GlobalSearch_settingsDescription,2
<tr><td><code>useLogo</code></td><td>0x1</td><td></td></tr>,2
check,2
<tr><td><code>always</code></td><td>2</td><td></td></tr>,2
<tr><td><code>ifRoom</code></td><td>1</td><td></td></tr>,2
grantResults),2
#AppCompatTheme_toolbarStyle,2
case,2
#MenuView_android_itemIconDisabledAlpha,2
#AppCompatTheme_alertDialogCenterButtons,2
pit.feat:subtitle,2
#DrawerArrowToggle_arrowShaftLength,2
#CardView_android_minWidth,2
here,2
#DrawerArrowToggle_thickness,2
#AppCompatTheme_windowFixedHeightMinor,2
pit.feat:background}</code></td><td></td></tr>,2
<tr><td><code>contact</code></td><td>1</td><td></td></tr>,2
#AppCompatTheme_actionModeBackground,2
#com_facebook_profile_picture_view_com_facebook_preset_size,2
#ShadowLayout_sl_dx,2
#AppCompatTheme_buttonBarPositiveButtonStyle,2
#Toolbar_navigationIcon,2
android:minWidth,2
#FeatureParam},2
<tr><td><code>light</code></td><td>1</td><td></td></tr>,2
pit.feat:textAllCaps}</code></td><td></td></tr>,2
<tr><td><code>icon_uri</code></td><td>2</td><td></td></tr>,2
#MenuItem_android_onClick,2
#ShadowLayout_sl_dy,2
pit.feat.R.attr#backgroundSplit},2
shown,2
#ActionMode_closeItemLayout,2
#com_facebook_login_view_com_facebook_tooltip_mode,2
\content,\,2
<tr><td><code>sparkle</code></td><td>3</td><td></td></tr>,2
#ActionMode_background,2
android.R.attr#layout_gravity},2
pit.feat:homeAsUpIndicator,2
android:windowAnimationStyle,2
#View_android_theme,2
#GlobalSearchSection_sectionType,2
#MenuItem_android_orderInCategory,2
#Spinner_android_entries,2
#MenuView_android_headerBackground,2
pit.feat:contentInsetRight,2
dot4.setImageDrawable(ctx.getDrawable(R.drawable.nonselecteditem_dot));,2
#com_facebook_login_view_com_facebook_logout_text,2
#LinearLayoutCompat_Layout_android_layout_gravity,2
#AppCompatTheme_actionBarDivider,2
<tr><td><code>small</code></td><td>-2</td><td></td></tr>,2
#com_facebook_profile_picture_view_com_facebook_is_cropped,2
#ActionBar_homeAsUpIndicator,2
handled,2
#AppCompatTheme_controlBackground,2
#SwitchCompat_android_textOn,2
#IMECorpus_userInputSection,2
item_view.findViewById(R.id.text_viewPager);,2
permission,2
\"\<code>100</code>"\\,2
<tr><td><code>display_always</code></td><td>1</td><td></td></tr>,2
#AppCompatTheme_actionMenuTextAppearance,2
#AppCompatTheme_homeAsUpIndicator,2
pit.feat:contentInsetEnd}</code></td><td></td></tr>,2
#Spinner_android_dropDownWidth,2
android.R.attr#focusable},2
#GlobalSearchCorpus_allowShortcuts,2
#LoadingImageView_circleCrop,2
file,2
<tr><td><code>automatic</code></td><td>0</td><td></td></tr>,2
Result,2
#ActionBar_title,2
#AppCompatTheme_listChoiceBackgroundIndicator,2
pit.feat:height,2
pit.feat:backgroundSplit}</code></td><td></td></tr>,2
onRequestPermissionsResult(int,2
action,2
#AppCompatTheme_colorControlNormal,2
:,2
pit.feat:contentInsetLeft,2
#ViewBackgroundHelper_backgroundTintMode,2
details,2
#AppCompatTheme_windowMinWidthMajor,2
#Toolbar_titleTextAppearance,2
#MenuItem_actionViewClass,2
<tr><td><code>center</code></td><td>0</td><td></td></tr>,2
#Spinner_android_prompt,2
#ActivityChooserView_expandActivityOverflowButtonDrawable,2
<tr><td><code>unknown</code></td><td>0</td><td></td></tr>,2
#ActionBar_backgroundStacked,2
android:gravity}</code></td><td></td></tr>,2
#AppCompatTheme_actionBarTabStyle,2
Consider,2
<tr><td><code>withText</code></td><td>4</td><td></td></tr>,2
then,2
#MenuGroup_android_orderInCategory,2
logic,2
<tr><td><code>text1</code></td><td>0</td><td></td></tr>,2
#AlertDialog_listItemLayout,2
#AppCompatTheme_colorPrimaryDark,2
auth,2
#AppCompatTheme_dialogPreferredPadding,2
#SwitchCompat_showText,2
#MenuItem_android_icon,2
#Section_schemaOrgProperty,2
#PopupWindow_android_popupBackground,2
#SearchView_searchHintIcon,2
#SignInButton_buttonSize,2
deep,2
android:minHeight,2
raw,2
#CardView_cardBackgroundColor,2
<tr><td><code>middle</code></td><td>2</td><td></td></tr>,2
<tr><td><code>dark</code></td><td>0</td><td></td></tr>,2
#CardView_cardElevation,2
title,2
#HTextView_animateType,2
#AppCompatTheme_windowMinWidthMinor,2
pit.feat:title,2
#Toolbar_collapseContentDescription,2
<tr><td><code>html</code></td><td>1</td><td></td></tr>,2
#AppCompatTheme_actionModeFindDrawable,2
<tr><td><code>url</code></td><td>3</td><td></td></tr>,2
#ActionMode_titleTextStyle,2
#View_paddingEnd,2
holded,2
pit.feat.R.attr#background},2
android:focusable,2
#Section_noIndex,2
#AppCompatTheme_listPopupWindowStyle,2
#LoadingImageView_imageAspectRatio,2
#SignInButton_scopeUris,2
<tr><td><code>rfc822</code></td><td>2</td><td></td></tr>,2
#AppCompatTheme_actionModeStyle,2
#GlobalSearchSection_sectionContent,2
#MenuGroup_android_checkableBehavior,2
android.R.attr#enabled},2
#AppCompatTheme_selectableItemBackground,2
#SwitchCompat_track,2
<tr><td><code>wrap_content</code></td><td>0</td><td></td></tr>,2
#HTextView_isAnimate,2
#SearchView_submitBackground,2
android:layout_gravity}</code></td><td></td></tr>,2
pit.feat:subtitleTextStyle}</code></td><td></td></tr>,2
<tr><td><code>never</code></td><td>0</td><td></td></tr>,2
#CardView_android_minHeight,2
#ActionBar_subtitleTextStyle,2
URI,2
#AppCompatTheme_listDividerAlertDialog,2
#TextAppearance_android_textColor,2
#AppCompatTheme_toolbarNavigationButtonStyle,2
#CompoundButton_android_button,2
#AppCompatTheme_buttonStyle,2
#AppCompatTheme_spinnerDropDownItemStyle,2
#MenuItem_android_visible,2
#LinearLayoutCompat_measureWithLargestChild,2
#Corpus_trimmable,2
#ActionBar_customNavigationLayout,2
#Toolbar_contentInsetRight,2
<tr><td><code>fall</code></td><td>2</td><td></td></tr>,2
#Toolbar_logoDescription,2
android:menuCategory,2
List,2
#TextAppearance_android_typeface,2
#ViewBackgroundHelper_backgroundTint,2
#Toolbar_android_gravity,2
choose,2
#ShadowLayout_sl_shadowRadius,2
#ActivityChooserView},2
#AppCompatTheme_textAppearanceSearchResultSubtitle,2
#ListPopupWindow_android_dropDownVerticalOffset,2
pit.feat:title}</code></td><td></td></tr>,2
#AppCompatTheme_listPreferredItemHeight,2
#AppCompatTheme_windowFixedWidthMajor,2
pit.feat:textAllCaps,2
#GlobalSearch_searchEnabled,2
#AppCompatTheme_listPreferredItemPaddingLeft,2
<tr><td><code>end</code></td><td>4</td><td></td></tr>,2
#Corpus_schemaOrgType,2
#AppCompatTheme_colorPrimary,2
<tr><td><code>scale</code></td><td>0</td><td></td></tr>,2
#AppCompatTheme_actionModePasteDrawable,2
#GlobalSearchSection},2
#AppCompatTheme_windowActionBarOverlay,2
#com_facebook_login_view_com_facebook_login_text,2
#AppCompatTheme_windowFixedHeightMajor,2
#Corpus_semanticallySearchable,2
#AppCompatTheme_actionModeShareDrawable,2
#Toolbar_collapseIcon,2
#AppCompatTheme_panelMenuListWidth,2
#AppCompatTheme_actionMenuTextColor,2
#AppCompatTheme_ratingBarStyleIndicator,2
#PopupWindow_overlapAnchor,2
#DrawerArrowToggle_drawableSize,2
pit.feat:logo}</code></td><td></td></tr>,2
ExpListItems,2
#Toolbar_logo,2
#AppCompatTheme_dividerHorizontal,2
pit.feat.R.attr#contentInsetEnd},2
#AppCompatTheme_listPreferredItemHeightLarge,2
#Corpus_corpusVersion,2
dot3.setImageDrawable(ctx.getDrawable(R.drawable.nonselecteditem_dot));,2
android:minHeight}</code></td><td></td></tr>,2
#AppCompatTheme_spinnerStyle,2
#CardView_cardPreventCornerOverlap,2
set,2
default,2
#AppCompatTheme_buttonBarStyle,2
#ActionBar_logo,2
pit.feat.R.attr#titleTextStyle},2
android:visible,2
#LinearLayoutCompat_dividerPadding,2
#AppCompatTheme_activityChooserViewStyle,2
#AppCompatTheme_radioButtonStyle,2
pit.feat.R.attr#contentInsetRight},2
Automatically,2
<tr><td><code>typer</code></td><td>7</td><td></td></tr>,2
#IMECorpus_toAddressesSection,2
Arrays,2
#SearchView_android_imeOptions,2
#AppCompatTextView_android_textAppearance,2
pit.feat.R.attr#textAllCaps},2
#ActionBar_elevation,2
<tr><td><code>showTitle</code></td><td>0x8</td><td></td></tr>,2
#IMECorpus_sourceClass,2
#MenuView_android_itemTextAppearance,2
<tr><td><code>anvil</code></td><td>4</td><td></td></tr>,2
#ActionMenuItemView_android_minWidth,2
<tr><td><code>wide</code></td><td>1</td><td></td></tr>,2
#MenuItem_android_numericShortcut,2
#AppCompatTheme_windowFixedWidthMinor,2
#AppCompatImageView},2
#AppCompatTheme_windowNoTitle,2
#ActionBar_contentInsetEnd,2
\fails,\,2
#ActivityChooserView_initialActivityCount,2
#AlertDialog_buttonPanelSideLayout,2
#LinearLayoutCompat_android_baselineAlignedChildIndex,2
#AppCompatTheme_editTextColor,2
#SearchView_searchIcon,2
#SearchView_suggestionRowLayout,2
#AppCompatTheme_switchStyle,2
#Spinner_popupTheme,2
message,2
pit.feat:contentInsetEnd,2
android:windowAnimationStyle}</code></td><td></td></tr>,2
#MenuItem_actionProviderClass,2
Make,2
android.R.attr#orderInCategory},2
#AppCompatTheme_popupWindowStyle,2
#AppCompatTheme_dialogTheme,2
<tr><td><code>line</code></td><td>5</td><td></td></tr>,2
<tr><td><code>demote_common_words</code></td><td>2</td><td></td></tr>,2
#Toolbar_contentInsetLeft,2
pit.feat:contentInsetStart,2
#Toolbar_titleMarginTop,2
Define,2
<tr><td><code>thing_proto</code></td><td>9</td><td></td></tr>,2
/////////,2
#AppCompatTheme_buttonBarButtonStyle,2
<tr><td><code>left</code></td><td>1</td><td></td></tr>,2
#MenuView_android_itemBackground,2
documentation,2
Called,2
android:popupBackground,2
<tr><td><code>button</code></td><td>1</td><td></td></tr>,2
#AppCompatTextView_textAllCaps,2
#MenuItem_android_id,2
#AppCompatTheme_buttonBarNegativeButtonStyle,2
#PopupWindowBackgroundState_state_above_anchor,2
#Corpus_contentProviderUri,2
android.R.attr#minWidth},2
#AppCompatTheme_actionModeSelectAllDrawable,2
<tr><td><code>large_icon_uri</code></td><td>7</td><td></td></tr>,2
#CompoundButton_buttonTintMode,2
android.R.attr#layout},2
#ActionBar_navigationMode,2
ABHISHEK,2
<tr><td><code>normal</code></td><td>0</td><td></td></tr>,2
#AppCompatTextView},2
android:popupBackground}</code></td><td></td></tr>,2
#Toolbar_contentInsetStart,2
#AppCompatTheme_actionModeCopyDrawable,2
#AppCompatTheme_actionModeSplitBackground,2
<tr><td><code>showHome</code></td><td>0x2</td><td></td></tr>,2
#AppCompatTheme_actionModeCloseButtonStyle,2
#SwitchCompat_android_textOff,2
pit.feat:homeAsUpIndicator}</code></td><td></td></tr>,2
android:orderInCategory,2
i++),2
#ActionBar_divider,2
<tr><td><code>icon_only</code></td><td>2</td><td></td></tr>,2
dot2.setImageDrawable(ctx.getDrawable(R.drawable.nonselecteditem_dot));,2
#Toolbar_titleMargins,2
Textview,2
#AppCompatTheme_actionBarTheme,2
<tr><td><code>email</code></td><td>0</td><td></td></tr>,2
#SwitchCompat_switchTextAppearance,2
pit.feat:titleTextStyle}</code></td><td></td></tr>,2
#TextAppearance_android_shadowDx,2
grants,2
#ViewBackgroundHelper_android_background,2
#LinearLayoutCompat_divider,2
#AppCompatTheme_buttonStyleSmall,2
pit.feat:subtitleTextStyle,2
#AppCompatTheme_panelMenuListTheme,2
android:visible}</code></td><td></td></tr>,2
#AppCompatTheme_textAppearanceSmallPopupMenu,2
#Toolbar_contentInsetEnd,2
#MenuView_android_verticalDivider,2
#Toolbar_titleMarginStart,2
out,2
#AlertDialog_singleChoiceItemLayout,2
android:enabled}</code></td><td></td></tr>,2
<tr><td><code>rainbow</code></td><td>8</td><td></td></tr>,2
<tr><td><code>inline</code></td><td>1</td><td></td></tr>,2
states,2
